hotel_id,hotel_name,cty,gugun,emd,addr,road_addr,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
550,더제주리조트,제주시,-,한림읍,제주 제주시 한림읍 협재리 876-3,제주특별자치도 제주시 한림읍 협재로 226,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.3783092524525,126.251182712647
551,수앤수리조트(구.수앤수가족호텔),제주시,-,애월읍,제주 제주시 애월읍 신엄리 2946-4,제주 제주시 애월읍 부룡수길 60,제주,국내,2성,40.0,100개 미만,가족호텔_제주,분류,33.4741623128917,126.358695119885
552,리치호텔,제주시,-,애월읍,제주 제주시 애월읍 고내리 332-1,제주특별자치도 제주시 애월읍 고내로13길 100,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.4720743292895,126.34894090405
553,도두봉호텔(구. 해든호텔),제주시,-,도두1동,제주 제주시 도두1동 1750,제주 제주시 서해안로 204,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.5065576171875,126.469888190471
554,호텔펄리플러스,제주시,-,도두1동,제주 제주시 도두1동 1798-6,제주특별자치도 제주시 도두봉2길 2,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50542196781139,126.469970449345
555,블루하와이호텔,제주시,-,한림읍,제주 제주시 한림읍 금능리 2005-1,제주특별자치도 제주시 한림읍 한림로 75,제주,국내,3성,99.0,100개 미만,관광호텔_제주,분류,33.380654,126.218453
556,호텔카리스,인천광역시,계양구,작전동,인천광역시 계양구 작전동 428-2,인천 계양구 계양대로 28,인천,국내,3성,142.0,200개 미만,관광호텔업,분류,37.52633452859022,126.7229012184173
557,아마레관광호텔,인천광역시,계양구,작전동,인천광역시 계양구 작전동 905-4,인천 계양구 장제로730번길 14,인천,국내,1성,67.0,100개 미만,관광호텔업,분류,37.5325822842141,126.735576767003
558,로얄호텔,인천광역시,남동구,간석동,인천 남동구 간석동 173-4,인천 남동구 백범로 367,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.465462,126.709664
559,파이호텔,인천광역시,남동구,간석동,인천광역시 남동구 간석동 169-3,인천 남동구 석촌로46번길 47,인천,국내,1성,65.0,100개 미만,관광호텔업,분류,37.46424635632153,126.7116122170511
560,폴로(POLO)관광호텔,인천광역시,남동구,논현동,인천광역시 남동구 논현동 677-3,인천 남동구 앵고개로934번길 30,인천,국내,2성,50.0,100개 미만,관광호텔업,분류,37.40094775634,126.735235853286
561,SJ Design 관광호텔,인천광역시,남동구,논현동,인천광역시 남동구 논현동 679-1,인천 남동구 소래역로 26-16,인천,국내,1성,53.0,100개 미만,관광호텔업,분류,37.39954841628651,126.736419850935
562,센트럴프라자호텔,인천광역시,남동구,구월동,인천광역시 남동구 구월동 1131-7,인천 남동구 예술로204번길 15,인천,국내,2성,118.0,200개 미만,관광호텔업,분류,37.4524103493559,126.702386835819
563,골든호텔,서귀포시,-,성산읍,제주 서귀포시 성산읍 고성리 329-1,제주특별자치도 서귀포시 성산읍 일출로 31,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.448005891861,126.9162598244679
564,호텔 라트리,인천광역시,남동구,구월동,인천 남동구 구월동 1460-2,인천 남동구 인하로507번길 50,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.4455229029008,126.70341423344
565,호텔 더 디자이너스 인천,인천광역시,남동구,구월동,인천광역시 남동구 구월동 1144-8,인천 남동구 남동대로765번길 8,인천,국내,2성,103.0,200개 미만,관광호텔업,분류,37.4510246443812,126.707094898997
566,소래호텔카카오,인천광역시,남동구,논현동,인천광역시 남동구 논현동 676-5,인천 남동구 앵고개로948번길 48,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.40067993606952,126.7363481239741
567,엠플레이스호텔,인천광역시,남동구,구월동,인천광역시 남동구 구월동 1460-1,인천 남동구 인하로507번길 56,인천,국내,2성,66.0,100개 미만,관광호텔업,분류,37.44572559156028,126.7033987423621
568,인천 호텔 반월(구 아시아드),인천광역시,남동구,구월동,인천광역시 남동구 구월동 1543-1,인천광역시 남동구 선수촌공원로17번길 6 (구월동),인천,국내,2성,76.0,100개 미만,관광호텔업,분류,37.4583812,126.7149354
569,인천 파크마린 호텔,인천광역시,남동구,논현동,인천광역시 남동구 논현동 677-1,인천 남동구 소래역로 44,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.4010179136864,126.7347793272889
570,인천 호텔 진,인천광역시,남동구,구월동,인천 남동구 구월동 1142-33,인천 남동구 남동대로777번길 36,인천,국내,1성,64.0,100개 미만,관광호텔업,분류,37.45218902989053,126.7057567555705
571,호텔베이204,인천광역시,남동구,구월동,인천광역시 남동구 구월동 1472-1,인천 남동구 인하로507번길 21-1,인천,국내,2성,91.0,100개 미만,관광호텔업,분류,37.4441673257721,126.702479946634
572,썬플라워 관광호텔,인천광역시,미추홀구,주안동,인천광역시 미추홀구 주안동 86-14,인천 미추홀구 주안중로 22-1,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.4604372217964,126.682901504122
573,토요코인인천부평,인천광역시,부평구,부평동,인천광역시 부평구 부평동 534-29,인천 부평구 광장로 10,인천,국내,2성,512.0,200개 이상,관광호텔업,분류,37.49044566387448,126.7220704516475
574,인천 SG관광호텔,인천광역시,서구,심곡동,인천광역시 서구 심곡동 245-3,인천 서구 탁옥로51번길 13-9,인천,국내,2성,67.0,100개 미만,관광호텔업,분류,37.54522,126.674317
575,포시즌관광호텔,인천광역시,서구,심곡동,인천광역시 서구 심곡동 242-13,인천 서구 탁옥로33번길 15,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.54545474010801,126.6732673266185
576,3s 부티크 호텔,인천광역시,서구,당하동,인천광역시 서구 당하동 1028-16,인천 서구 원당대로 874,인천,국내,2성,93.0,100개 미만,관광호텔업,분류,37.5931553132946,126.698417882339
577,인천 호텔소프라,인천광역시,서구,심곡동,인천광역시 서구 심곡동 246-2,인천 서구 서곶로301번길 21,인천,국내,3성,148.0,200개 미만,관광호텔업,분류,37.5443872837444,126.674326600802
578,인천 펜타스타 호텔,인천광역시,서구,오류동,인천광역시 서구 오류동 1743-3,인천 서구 오류로14번길 23,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.59547554195124,126.6317989402353
579,호텔 원티드,인천광역시,서구,원창동,인천광역시 서구 원창동 381-51,인천 서구 북항로32번길 20,인천,국내,3성,91.0,100개 미만,관광호텔업,분류,37.50831324630061,126.6452782826678
580,인천 크리스탈 호텔,인천광역시,서구,오류동,인천 서구 오류동 1744-3,인천 서구 오류로14번길 22,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.59516910144445,126.6314766041116
582,송도 브라운도트,인천광역시,연수구,옥련동,인천광역시 연수구 옥련동 553-7,인천 연수구 능허대로 227-7,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.41618022270058,126.6514664618302
583,호텔498,인천광역시,연수구,청학동,인천광역시 연수구 청학동 498-15,인천 연수구 용담로85번길 24,인천,국내,2성,71.0,100개 미만,관광호텔업,분류,37.4173902654094,126.676174158206
584,딘 관광호텔,인천광역시,중구,항동,인천광역시 중구 항동 7가 58-128,인천 중구 연안부두로43번길 12,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.4538114878488,126.602527433169
585,베스트웨스턴 하버파크,인천광역시,중구,항동,인천광역시 중구 항동 3가 5,인천 중구 제물량로 217,인천,국내,4성,213.0,200개 이상,관광호텔업,분류,37.47214731657351,126.6196067140811
586,시크릿관광호텔,인천광역시,중구,북성동,인천광역시 중구 북성동 1가 98-211,인천 중구 월미로233번길 11,인천,국내,2성,72.0,100개 미만,관광호텔업,분류,37.4745721310103,126.600557832663
587,G관광호텔,인천광역시,중구,북성동,인천광역시 중구 북성동 1가 98-363,인천 중구 월미로248번길 1,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.47387526595769,126.5985820442164
588,베니키아 호텔 바다의 별,인천광역시,중구,북성동,인천광역시 중구 북성동 1가 98-326,인천 중구 월미로242번길 7-2,인천,국내,미등급,미분류,200개 이상,미분류,미분류,37.4743405773419,126.598432590298
589,W호텔 인천,인천광역시,중구,북성동,인천광역시 중구 북성동 1가 98-81,인천 중구 월미로 211,인천,국내,2성,40.0,100개 미만,관광호텔업,분류,37.47706282561181,126.6001194919369
590,베니키아 월미도 더 블리스 호텔,인천광역시,중구,북성동,인천광역시 중구 북성동 1가 98-533,인천 중구 월미로 266,인천,국내,2성,88.0,100개 미만,관광호텔업,분류,37.47290431337153,126.5973550131999
