hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
호텔더반,충북 충주시 대소원면 메가폴리스2로 63,10471,충청,국내,2성,37.0,100개 미만,관광호텔업,분류,36.9916048140072,127.816684725756
온양 그랜드 호텔,충남 아산시 충무로20번길 7,10472,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.7840594665695,127.006370518305
서울 선샤인호텔,서울 강남구 도산대로 205,10473,서울,국내,미등급,72.0,100개 미만,관광호텔,분류,37.5205035061975,127.028779679904
토요코인 서울 동대문 2,서울 중구 퇴계로 325,10474,서울,국내,2성,207.0,200개 이상,관광호텔업,분류,37.5645213027663,127.007868200174
샤이닝 글로리 하우스,서울 마포구 희우정로 90,10475,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5537349155171,126.902911035381
아마란스 호텔,울산 울주군 상북면 석남로 752-8,10476,경상,국내,1성,30.0,100개 미만,관광호텔업,분류,35.6160342711303,129.059484162498
다이아몬드 호텔,인천 중구 월미로 229,10477,경기,국내,1성,50.0,100개 미만,관광호텔업,분류,37.4753893782447,126.599849622592
호텔라온,경남 함양군 함양읍 함양로 1148-2,10478,경상,국내,2성,34.0,100개 미만,관광호텔업,분류,35.5211351657596,127.728258489212
더 마크호텔,충북 청주시 흥덕구 가로수로1164번길 41-34,10479,충청,국내,2성,56.0,100개 미만,관광호텔업,분류,36.6256385285935,127.428654871755
호텔 오라,인천 중구 공항서로 345,10480,경기,국내,3성,84.0,100개 미만,관광호텔업,분류,37.454027458689,126.41774295192
웨스트 레이븐 호텔,경기 시흥시 옥터로 3,10481,경기,국내,2성,21.0,100개 미만,관광호텔업,분류,37.3474915040222,126.692883652251
메이트호텔 파주,경기 파주시 탄현면 엘씨디로241번길 39-35,10482,경기,국내,2성,47.0,100개 미만,관광호텔업,분류,37.8089897907119,126.758720468456
창원호텔,경남 창원시 성산구 중앙대로39번길 14,10483,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.2201782332986,128.674692271342
Hotel in 9,서울 강남구 영동대로 618,10484,서울,국내,미등급,151.0,200개 미만,관광호텔,분류,37.515577231049,127.060038067524
호텔 KCP,강원 양구군 양구읍 파로호로 993-19,10485,강원,국내,2성,48.0,100개 미만,관광호텔업,분류,38.1138606579212,127.98083096312
에이더블유 호텔,대구 달서구 성서로 413,10486,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.8544438447905,128.506704235981
S 호텔,경기 부천시 원미로17번길 28,10487,경기,국내,2성,55.0,100개 미만,관광호텔업,분류,37.484715290625,126.787402283779
비즈니스 호텔 가빈,전남 목포시 북항로 141,10488,전라,국내,미등급,미분류,200개 이상,미분류,미분류,34.8017099329664,126.369247616383
호텔 지뜨,전남 순천시 팔마2길 11,10489,전라,국내,2성,42.0,100개 미만,관광호텔업,분류,34.9337073876776,127.519273144422
영종 관광호텔,인천 중구 운중로21번길 8,10490,경기,국내,1성,45.0,100개 미만,관광호텔업,분류,37.4942446792844,126.536712430105
백제 관광호텔,충남 부여군 부여읍 북포로 108,10491,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.2917753889155,126.922273525434
IBC 호텔,서울 종로구 난계로 241,10492,서울,국내,3성,100.0,200개 미만,관광호텔업,분류,37.5732544172469,127.022842009254
나무호텔,서울 광진구 아차산로76가길 12,10493,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5473112429539,127.107200169131
뉴스카이호텔,경기 용인시 처인구 백암면 고안로 48,10494,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.1326978429772,127.403005387311
거제뷰컨트리클럽골프텔,경남 거제시 거제면 두동로 259-80,10495,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.8810744173147,128.590614753417
선재해림,인천 옹진군 영흥면 선재로226번길 107-34,10496,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.2523404995878,126.526791013236
명지 호텔 오이아,부산 강서구 명지국제6로1번길 24,10497,부산,국내,2성,51.0,100개 미만,관광호텔업,분류,35.0939310321258,128.900100264673
SR 스위츠 호텔 분당,경기 성남시 분당구 황새울로319번길 9,10498,경기,국내,3성,66.0,100개 미만,관광호텔업,분류,37.3855544100422,127.120203714728
써클호텔,서울 마포구 양화로 15,10499,서울,국내,1성,40.0,100개 미만,관광호텔업,분류,37.5488714770608,126.910749833865
엘라포니시 호텔,경상북도 경주시 감포읍 동해안로 1596,10500,경상,국내,2성,52.0,100개 미만,관광호텔업,분류,35.7525316,129.4927877
케이스테이 관광호텔,전라남도 강진군 군동면 청자로 297,10501,전라,국내,2성,48.0,100개 미만,관광호텔업,분류,34.6201573,126.7928803
통영엔초비관광호텔,경상남도 통영시 동호로 56 city,10502,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.842872,128.4314394
통영엔초비관광호텔,"경상남도 통영시 정량동 1376-1, 정량동",10503,경상,국내,미등급,미분류,200개 이상,미분류,미분류,34.842872,128.4314394
라이프스타일 S호텔,서울특별시 강서구 곰달래로 108,10504,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5301945,126.8446719
풍기호텔,경북 영주시 풍기읍 풍기로 53,10505,경상,국내,1성,47.0,100개 미만,관광호텔업,분류,36.8697794434434,128.524795985959
